session,section,total_think_aloud_count,total_search_count,total_topic_change_count,total_mouse_hover_count,total_draging_count,total_open-doc_count,total_reading_count,total_highlight_count,total_connection_count,total_create_note_count,total_add_note_count,think_aloud_ratio,search_ratio,topic_change_ratio,mouse_hover_ratio,draging_ratio,open-doc_ratio,reading_ratio,highlight_ratio,connection_ratio,create_note_ratio,add_note_ratio,total_interaction_count,total_duration,repeat_searches,prop_repeat_searches,search_term_similarity,search_time_std_dev,search_open_overlap,search_term_efficiency
Arms_P1_InteractionsLogs.json,ArmsDealing,137,82,10,143,169,134,159,21,20,2,2,0.155858931,0.093287827,0.011376564,0.162684869,0.192263936,0.152445961,0.180887372,0.023890785,0.022753129,0.002275313,0.002275313,879,52595,32,0.390243902,0.138266728,3451.550394,0.442735385,6.037037037
Arms_P2_InteractionsLogs.json,ArmsDealing,69,27,6,275,132,91,233,8,5,2,9,0.080513419,0.031505251,0.007001167,0.320886814,0.154025671,0.106184364,0.271878646,0.009334889,0.005834306,0.002333722,0.01050175,857,47952,3,0.111111111,0.182128864,4267.560945,0.533673813,7.074074074
Arms_P3_InteractionsLogs.json,ArmsDealing,78,46,15,167,207,140,522,7,34,6,5,0.063569682,0.037489813,0.012224939,0.136104319,0.168704156,0.11409943,0.425427873,0.005704971,0.027709861,0.004889976,0.00407498,1227,52979,5,0.108695652,0.091687552,2985.727946,0.549642129,6.466666667
Arms_P4_InteractionsLogs.json,ArmsDealing,74,76,10,152,229,149,337,141,28,1,1,0.061769616,0.063439065,0.008347245,0.12687813,0.19115192,0.124373957,0.28130217,0.11769616,0.023372287,0.000834725,0.000834725,1198,54773,7,0.092105263,0.068575108,3323.632046,0.35434632,4.986842105
Arms_P5_InteractionsLogs.json,ArmsDealing,32,66,11,264,139,239,173,1,35,0,0,0.033333333,0.06875,0.011458333,0.275,0.144791667,0.248958333,0.180208333,0.001041667,0.036458333,0,0,960,53352,11,0.166666667,0.10106707,5623.355524,0.580467337,8.138461538
Arms_P6_InteractionsLogs.json,ArmsDealing,116,78,14,274,188,151,277,7,4,0,0,0.104598738,0.070333634,0.012623986,0.247069432,0.169522092,0.136158702,0.249774572,0.006311993,0.003606853,0,0,1109,53570,9,0.115384615,0.122595431,4989.970183,0.585511075,5.743589744
Arms_P7_InteractionsLogs.json,ArmsDealing,59,100,18,230,144,286,247,0,15,7,7,0.053009883,0.08984726,0.016172507,0.206648697,0.129380054,0.256963163,0.221922731,0,0.013477089,0.006289308,0.006289308,1113,48551,16,0.16,0.075875176,1336.471003,0.656859396,5.25
Arms_P8_InteractionsLogs.json,ArmsDealing,81,63,10,146,213,197,881,0,7,1,19,0.050061805,0.038936959,0.00618047,0.090234858,0.131644005,0.121755253,0.544499382,0,0.004326329,0.000618047,0.011742892,1618,53652,22,0.349206349,0.104854686,3600.642096,0.453194953,5.238095238
Terrorist_P1_InteractionsLogs.json,Terrorist,11,48,176,118,219,87,91,9,7,8,15,0.013941698,0.060836502,0.223067174,0.149556401,0.27756654,0.11026616,0.115335868,0.011406844,0.00887199,0.010139417,0.019011407,789,53988,3,0.0625,0.1525822,11331.39002,0.47392677,19.22916667
Terrorist_P2_InteractionsLogs.json,Terrorist,12,38,115,89,281,68,114,103,0,0,8,0.014492754,0.04589372,0.138888889,0.107487923,0.339371981,0.082125604,0.137681159,0.124396135,0,0,0.009661836,828,53599,3,0.078947368,0.109290821,3756.755428,0.587003905,7.210526316
Terrorist_P3_InteractionsLogs.json,Terrorist,7,19,71,85,875,68,128,5,10,8,16,0.005417957,0.014705882,0.05495356,0.065789474,0.677244582,0.052631579,0.099071207,0.003869969,0.007739938,0.00619195,0.012383901,1292,39370,4,0.210526316,0.238037617,4592.498167,0.365595556,15.36842105
Terrorist_P4_InteractionsLogs.json,Terrorist,11,28,247,106,219,42,181,82,9,8,20,0.011542497,0.029380902,0.259181532,0.111227702,0.22980063,0.044071354,0.189926548,0.086044071,0.009443861,0.008394544,0.020986359,953,54699,1,0.035714286,0.049072133,13071.73192,0.281738946,7.321428571
Terrorist_P5_InteractionsLogs.json,Terrorist,7,56,204,82,513,31,261,31,12,12,2,0.005780347,0.046242775,0.168455822,0.067712634,0.423616846,0.025598679,0.21552436,0.025598679,0.009909166,0.009909166,0.001651528,1211,54110,19,0.339285714,0.136781329,6871.037598,0.398466527,21.17857143
Terrorist_P6_InteractionsLogs.json,Terrorist,9,31,111,57,416,65,224,9,2,2,8,0.009635974,0.033190578,0.118843683,0.061027837,0.445396146,0.069593148,0.239828694,0.009635974,0.002141328,0.002141328,0.00856531,934,53859,11,0.35483871,0.133380745,3985.09079,0.386795955,14.93548387
Terrorist_P7_InteractionsLogs.json,Terrorist,12,57,275,139,358,76,219,31,6,7,12,0.010067114,0.047818792,0.230704698,0.116610738,0.30033557,0.063758389,0.183724832,0.026006711,0.005033557,0.005872483,0.010067114,1192,55275,19,0.333333333,0.16799546,5801.369487,0.549439856,9.368421053
Terrorist_P8_InteractionsLogs.json,Terrorist,10,48,189,80,167,34,145,64,2,1,6,0.013404826,0.064343164,0.253351206,0.107238606,0.22386059,0.045576408,0.194369973,0.085790885,0.002680965,0.001340483,0.008042895,746,52557,6,0.125,0.16187644,7574.126528,0.562923259,5.333333333
Disappearance_P1_InteractionsLogs.json,Disappearnce,125,10,35,60,220,128,125,9,18,1,1,0.170765027,0.013661202,0.047814208,0.081967213,0.300546448,0.174863388,0.170765027,0.012295082,0.024590164,0.00136612,0.00136612,732,47305,7,0.2,0.067478352,5406.741557,0.254004027,21.62857143
Disappearance_P2_InteractionsLogs.json,Disappearnce,105,12,33,135,320,156,154,41,21,2,28,0.104270109,0.011916584,0.032770606,0.134061569,0.317775571,0.154915591,0.152929494,0.040714995,0.020854022,0.001986097,0.027805362,1007,58611,1,0.03030303,0.068937297,3919.945942,0.45523088,6.818181818
